COLIiP   7706050146 5660        6100iS                        FLD        75  75 gg
                 1                                              D
BOO iP   7706051515 1280        1430iS                        FLD       860  76 gg
BAD iP   7706051515 1320        1520iS                        FLD       820  76 gg
BUA iP   7706051515 1380        1700iS                        FLD       800  76 gg
COLIiP   7706051515 1510        1960iS                        FLD       700  76 gg
TRI iP   7706051515 2450        3530iS                        FLD            76 gg
LJU eP   7706051515 2790        4270iS                        FLD            76 gg
BHG eP   7706051515 3690                                      FLD            76 g
                 1                                              D
BOO iP   7706052254 1460        1520iS                        FLD        90  77 gg
BUA eP   7706052254 1560        1760iS                        FLD        81  77 gg
BAD eP   7706052254 1640        1860iS                        FLD        50  77 gg
COLIeP   7706052254 1900        2360iS                        FLD        55  77 gg
                 1                                              D
BOO eP   7706060743 0450         630iS                        FLD        83  78 gg
BAD eP   7706060743 0480         760iS                        FLD       128  78 gg
BUA iP   7706060743 0540         850iS                        FLD        90  78 gg
COLIiP   7706060743 0680        1130iS                        FLD        96  78 gg
                 1                                              D
BOO iP   7706061813 5190        5280iS                        FLD        83  79 gg
BUA eP   7706061813 5300        5440iS                        FLD        90  79 gg
BAD eP   7706061813 5360        5570iS                        FLD       128  79 gg
COLIiP   7706061813 5630        6080iS                        FLD        96  79 gg
                 1                                              D
TRI    4 7706070521 0000        5180eS                        CLD       600  80  g
CEY eP   7706070521 4160        5240eS                        CLD            80 gg
LJU    4 7706070521 0000        6210eS                        CLD            80  g
                 1                                              D
BOO iPC  7706070528 4320        4440iS                        FLD       190  81 gg
BUA iPC  7706070528 4440        4630iS                        FLD       173  81 gg
BAD iPD  7706070528 4520        4820iS                        FLD       151  81 gg
COLIiP   7706070528 4780        5300iS                        FLD       175  81 gg
                 1                                              D
BOO iP   7706070844 3010        3150iS                        FLD       106  82 gg
BUA iP   7706070844 3070        3290iS                        FLD       166  82 gg
BAD eP   7706070844 3170        3490iS                        FLD       150  82 gg
COLIiP   7706070844 3410        3930iS                        FLD       150  82 gg
                 1                                              D
BOO iP   7706080817 5290        5440iS                        FLD       138  83 gg
BUA eP   7706080817 5450        5780iS                        FLD       148  83 gg
BAD eP   7706080817 5500        5880iS                        FLD       141  83 gg
COLIiP   7706080817 5760        6340iS                        FLD       150  83 gg
                 1                                              D
BOO iP   7706081036 3710        3830iS                        FLD        93  84 gg
BUA iP   7706081036 3850        4090iS                        FLD        96  84 gg
BAD eP   7706081036 3940        4240eS                        FLD       101  84 gg
COLIeP   7706081036 4190        4730iS                        FLD        98  84 gg
                 1                                              D
BOO eP   7706081510 2780        2880iS                        FLD       131  85 gg
BUA eP   7706081510 2900        3080iS                        FLD       150  85 gg
BAD eP   7706081510 2880        3080iS                        FLD       160  85 gg
COLIiP   7706081510 3130        3570iS                        FLD       160  85 gg
                 1                                              D
BUA iP   7706082047 4570        4910iS                        FLD       200  86 gg
BOO iP   7706082047 4600        4960iS                        FLD            86 gg
COLIiP   7706082047 4920        5490iS                        FLD       340  86 gg
                 1                                              D
BOO iP   7706091155 3980        4040iS 3                      FLD       200  87 gg
BUA iP   7706091155 4090        4240iS                        FLD       263  87 gg
BAD iP   7706091155 4160        4390iS                        FLD       240  87 gg
COLIiP   7706091155 4420        4900iS                        FLD       216  87 gg
                 1                                              D
BOO iP   7706100535 4990        5070iS                        FLD       103  88 gg
BUA eP   7706100535 5110        5250eS                        FLD            88 gg
BAD iP   7706100535 5180        5380iS                        FLD            88 gg
COLIiP   7706100535 5450        5880iS                        FLD            88 gg
                 1                                              D
COLIiP-  7706100730 5120                                      FL         50  89 g
                 1                                               
BOO eP   7706101531 0550                                      FLD       225  90 g
BUA iP   7706101531 0720         990iS                        FLD       177  90 gg
BAD iP   7706101531 0780        1080iS                        FLD            90 gg
COLIeP   7706101531 1050        1570iS                        FLD       192  90 gg
                 1                                              D
BOO iP   7706101944 4480        4660iS                        FLD       101  91 gg
BAD iP   7706101944 4480        4660eS                        FLD       128  91 gg
BUA    4 7706101944 0000        4870iS                        FLD       101  91  g
COLIeP   7706101944 4690        5060iS                        FLD       100  91 gg
                 1                                              D
BOO iP   7706110001 3820        3920iS                        FLD       111  92 gg
BUA eP   7706110001 3920        4140iS                        FLD       100  92 gg
BAD iP   7706110001 4000        4310iS                        FLD       128  92 gg
COLIiP   7706110001 4280        4790iS                        FLD       110  92 gg
                 1                                              D
BOO iP-  7706110432 5410        5550eS                        FLD        90  93 gg
BUA iP+  7706110432 5440        5620iS                        FLD        93  93 gg
BAD iP-  7706110432 5490        5690iS                        FLD       115  93 gg
COLIeP   7706110432 5720        6080eS 3                      FLD       101  93 gg
                 1                                              D
BOO eP-  7706111250 3000        3210iS                        FLD        55  94 gg
BUA eP   7706111250 3010        3240eS                        FLD        55  94 gg
COLIeP   7706111250 3140        3460iS                        FLD        55  94 gg
                 1                                              D
BOO eP+  7706112103 5240        5360iS                        FLD        50  95 gg
BUA eP   7706112103 5280        5460iS                        FLD        45  95 gg
BAD eP   7706112103 5290        5500iS                        FLD            95 gg
                 1                                              D
BAD iP+  7706120128 2580        2770iS                        FL         40  96 gg
COLIiP-  7706120128 2770        3150iS                        FL         30  96 gg
                 1                                               
COLIiP+  7706120704 5190        7160iS                         L        630  97 gg
                 1                                               
BUA iP+  7706131040 3250        3550iS                        FLD        86  98 gg
BOO iP-  7706131040 3270        3580eS                        FLD        90  98 gg
BAD iP+  7706131040 3310        3640eS                        FLD       113  98 gg
COLIiP+  7706131040 3480        3950iS                        FLD       106  98 gg
                 1                                              D
BOO iP+  7706132330 3760                                      FLD       342  99 g
BUA iP-  7706132330 3930        4220iS                        FLD       357  99 gg
BAD iP-  7706132330 3990        4290iS                        FLD       370  99 gg
COLIiP-  7706132330 4240        4780iS                        FLD       250  99 gg
                 1                                              D
BOO iP-  7706140515 3430                                      FLD       192 100 g
BUA iP-  7706140515 3610        3900iS                        FLD       155 100 gg
BAD iP   7706140515 3660        3960iS                        FLD       123 100 gg
COLIiP-  7706140515 3930        4450iS                        FLD       126 100 gg
                 1                                              D
BOO iPC  7706141219 0780         880iS                        FLD       290 101 gg
BUA iPD  7706141219 0950        1220iS                        FLD       262 101 gg
BAD iP   7706141219 1010        1300iS                        FLD       257 101 gg
COLIiPC  7706141219 1270        1800iS                        FLD       188 101 gg
                 1                                              D
BOO iP-  7706141321 4950        5040iS                        FLD       101 102 gg
BUA iP-  7706141321 5040        5190iS                        FLD       105 102 gg
BAD eP   7706141321 5070        5210iS                        FLD       110 102 gg
COLIiP+  7706141321 5330                                      FLD       120 102 g
                 1                                              D
BAD iPC  7706141654 1410                                      FLD       670 103 g
BOO iPC  7706141654 1480        1750iS                        FLD       510 103 gg
BUA iPC  7706141654 1500        1810iS                        FLD       600 103 gg
COLIiPC  7706141654 1530        1900iS                        FLD       390 103 gg
TRI iP   7706141654 2430        3430iS                        FLD           103 gg
                 1                                              D
BOO eP+  7706150155 2630        2760iS                        FLD       126 104 gg
BAD eP-  7706150155 2680        2900iS                        FLD       133 104 gg
BUA eP-  7706150155 2740        2990iS                        FLD       103 104 gg
COLIeP-  7706150155 2930        3360iS                        FLD       120 104 gg
                 1                                              D
TRI eP   7706151255 2250        2620eS                        SLD       500 105 gg
CEY eP   7706151255 2290        2720eS                        SLD           105 gg
LJU eP   7706151255 2710        3450eS                        SLD           105 gg
                 1                                              D
BAD iP   7706152144 5840        5940iS                        FLD       115 106 gg
BOO eP   7706152144 5910        6060iS                        FLD        91 106 gg
BUA iP   7706152144 5950        6140eS                        FLD        80 106 gg
COLIeP   7706152145 0080         360iS                        FLD        73 106 gg
                 1                                              D
BOO iPD  7706160454 4770        4840iS                        FLD        78 107 gg
BUA iPD  7706160454 4870        5040eS                        FLD        98 107 gg
BAD    4 7706160454 0000        5200iS                        FLD           107  g
COLIeP   7706160454 5220        5670eS                        FLD           107 gg
                 1                                              D
CEY eP   7706171349 4870        5640eS                        CLD           108 gg
TRI eP   7706171349 5370        6530eS                        CLD       700 108 gg
LJU eP   7706171349 5500                                      CLD           108 g
                 1                                              D
COLIeP   7706171423 3370        3890iS                        FL        120 109 gg
                 1                                               
BOO iPC  7706181153 4480        4550iS                        FLD       220 110 gg
BUA iPD  7706181153 4610        4820iS                        FLD       207 110 gg
BAD iP   7706181153 4700        4960iS                        FLD           110 gg
COLIeP   7706181153 4960        5460iS                        FLD           110 gg
                 1                                              D
BOO eP+  7706181153 5740        5800iS                        FLD       155 111 gg
BUA eP-  7706181153 5870        6080iS                        FLD       138 111 gg
BAD eP+  7706181153 5960        6220iS                        FLD           111 gg
COLIeP+  7706181154 0230         720iS                        FLD           111 gg
                 1                                              D
BOO iP   7706181154 1500        1610iS                        FLD      1040 112 gg
BUA iP   7706181154 1640        1770iS                        FLD      1220 112 gg
BAD eP   7706181154 1710        1960iS                        FLD      1280 112 gg
COLIeP   7706181154 1970        2420iS                        FLD       800 112 gg
TRI eP   7706181154 2850        4050iS                        FLD           112 gg
LJU eP   7706181154 3390                                      FLD           112 g
BHG eP   7706181154 4070                                      FLD           112 g
GAP eP   7706181154 4630                                      FLD           112 g
                 1                                              D
BOO iP   7706181539 0950        1060iS                        FLD       123 113 gg
BUA iP   7706181539 1010        1210iS                        FLD       177 113 gg
BAD iP   7706181539 1070        1300iS                        FLD       145 113 gg
COLIiP   7706181539 1310        1730iS                        FLD       126 113 gg
                 1                                              D
BUA eP   7706182314 5940        6240iS                        FLD       227 114 gg
BOO iP+  7706182314 5970        6290iS                        FLD       160 114 gg
BAD eP   7706182315 0080         470eS                        FLD           114 gg
COLIiP-  7706182315 0260                                      FLD       166 114 g
                 1                                              D
BAD iP   7706190224 5600        5810iS                        FLD       230 115 gg
