MODEL,WEIGHT,station,PHASE,THRESHOLD,timestamp,prob
EQTransformer,original,CADS,P,0.2,2023-06-30T11:59:32.300000Z,0
EQTransformer,original,CAE,P,0.2,2023-06-01T09:53:32.530000Z,2
EQTransformer,original,CAE,S,0.2,2023-06-01T09:53:36.360000Z,3
EQTransformer,original,CAE,S,0.2,2023-06-05T18:20:51.150000Z,3
EQTransformer,original,CAE,S,0.2,2023-06-05T21:01:11.700000Z,3
EQTransformer,original,CAE,P,0.2,2023-06-28T23:02:58.660000Z,1
EQTransformer,original,CAE,S,0.2,2023-06-28T23:03:00.590000Z,2
EQTransformer,original,CARE,P,0.2,2023-06-01T14:59:55.110000Z,0
EQTransformer,original,CARE,P,0.2,2023-06-28T10:39:46.460000Z,1
EQTransformer,original,CARE,P,0.2,2023-06-29T15:06:39.430000Z,0
EQTransformer,original,CIMO,P,0.2,2023-06-01T09:53:32.090000Z,2
EQTransformer,original,CIMO,S,0.2,2023-06-01T09:53:35.530000Z,2
EQTransformer,original,CIMO,P,0.2,2023-06-01T21:41:18.550000Z,2
EQTransformer,original,CIMO,S,0.2,2023-06-01T21:41:22.260000Z,3
EQTransformer,original,CIMO,P,0.2,2023-06-03T21:45:30.990000Z,2
EQTransformer,original,CIMO,S,0.2,2023-06-03T21:45:34.180000Z,2
EQTransformer,original,CIMO,P,0.2,2023-06-04T03:09:46.690000Z,1
EQTransformer,original,CIMO,S,0.2,2023-06-04T03:09:50.140000Z,3
EQTransformer,original,CIMO,S,0.2,2023-06-05T21:01:01.500000Z,2
EQTransformer,original,CIMO,S,0.2,2023-06-12T19:19:03.840000Z,2
EQTransformer,original,CIMO,P,0.2,2023-06-14T05:11:28.540000Z,2
EQTransformer,original,CIMO,S,0.2,2023-06-14T05:11:32.160000Z,2
EQTransformer,original,CIMO,S,0.2,2023-06-24T12:58:49.900000Z,2
EQTransformer,original,CIMO,S,0.2,2023-06-28T23:03:57.100000Z,2
EQTransformer,original,CIMO,S,0.2,2023-06-30T08:13:46.990000Z,3
EQTransformer,original,CLUD,P,0.2,2023-06-03T16:54:16.790000Z,2
EQTransformer,original,CLUD,S,0.2,2023-06-03T16:54:19.600000Z,2
EQTransformer,original,CLUD,P,0.2,2023-06-05T08:28:06.500000Z,2
EQTransformer,original,CLUD,S,0.2,2023-06-05T08:29:38.200000Z,0
EQTransformer,original,CLUD,S,0.2,2023-06-06T00:55:26.730000Z,2
EQTransformer,original,CLUD,S,0.2,2023-06-12T19:20:33.600000Z,2
EQTransformer,original,CLUD,S,0.2,2023-06-22T13:30:17.690000Z,1
EQTransformer,original,CLUD,S,0.2,2023-06-23T05:22:07.700000Z,3
EQTransformer,original,CLUD,S,0.2,2023-06-24T12:58:13.660000Z,3
EQTransformer,original,CTI,P,0.2,2023-06-01T14:59:52.970000Z,2
EQTransformer,original,CTI,S,0.2,2023-06-04T17:58:31.700000Z,0
EQTransformer,original,CTI,S,0.2,2023-06-05T21:00:22.600000Z,3
EQTransformer,original,CTI,P,0.2,2023-06-14T10:05:00.120000Z,0
EQTransformer,original,CTI,S,0.2,2023-06-23T05:22:05.390000Z,3
EQTransformer,original,CTI,P,0.2,2023-06-23T06:58:16.340000Z,3
EQTransformer,original,CTI,S,0.2,2023-06-23T06:58:18.670000Z,2
EQTransformer,original,DOSS,P,0.2,2023-06-01T14:59:51.480000Z,0
EQTransformer,original,DOSS,P,0.2,2023-06-03T05:18:39.310000Z,3
EQTransformer,original,DOSS,S,0.2,2023-06-04T17:57:20.400000Z,3
EQTransformer,original,DOSS,P,0.2,2023-06-08T15:19:18.660000Z,1
EQTransformer,original,DOSS,P,0.2,2023-06-09T17:32:25.540000Z,3
EQTransformer,original,DOSS,S,0.2,2023-06-09T17:32:28.440000Z,2
EQTransformer,original,DOSS,P,0.2,2023-06-12T10:04:39.710000Z,0
EQTransformer,original,DOSS,S,0.2,2023-06-13T17:17:23.620000Z,3
EQTransformer,original,DOSS,P,0.2,2023-06-14T10:35:35.380000Z,0
EQTransformer,original,DOSS,P,0.2,2023-06-23T05:22:04.160000Z,2
EQTransformer,original,DOSS,P,0.2,2023-06-23T06:58:18.880000Z,3
EQTransformer,original,DOSS,S,0.2,2023-06-23T06:58:24.360000Z,2
EQTransformer,original,DOSS,P,0.2,2023-06-26T10:10:01.280000Z,0
EQTransformer,original,DOSS,P,0.2,2023-06-27T10:46:42.110000Z,0
EQTransformer,original,DOSS,P,0.2,2023-06-29T15:06:35.770000Z,0
EQTransformer,original,DOSS,P,0.2,2023-06-29T15:08:54.030000Z,0
EQTransformer,original,DOSS,P,0.2,2023-06-29T15:32:52.310000Z,0
EQTransformer,original,DOSS,P,0.2,2023-06-29T15:33:20.710000Z,1
EQTransformer,original,DRE,P,0.2,2023-06-02T08:50:42.740000Z,2
EQTransformer,original,DRE,P,0.2,2023-06-03T08:29:30.070000Z,2
EQTransformer,original,DRE,S,0.2,2023-06-03T08:29:32.100000Z,0
EQTransformer,original,DRE,S,0.2,2023-06-04T00:04:25.700000Z,0
EQTransformer,original,DRE,P,0.2,2023-06-09T10:10:14.370000Z,0
EQTransformer,original,DRE,S,0.2,2023-06-09T11:30:17.200000Z,2
EQTransformer,original,DRE,P,0.2,2023-06-12T08:28:24.400000Z,1
EQTransformer,original,DRE,S,0.2,2023-06-12T08:28:29.920000Z,1
EQTransformer,original,DRE,P,0.2,2023-06-20T03:40:34.890000Z,2
EQTransformer,original,DRE,S,0.2,2023-06-20T03:40:38.070000Z,2
EQTransformer,original,DRE,S,0.2,2023-06-22T07:15:27.470000Z,2
EQTransformer,original,DRE,P,0.2,2023-06-26T15:55:32.770000Z,2
EQTransformer,original,DRE,S,0.2,2023-06-26T15:55:35.450000Z,2
EQTransformer,original,DRE,S,0.2,2023-06-28T21:01:20.200000Z,2
