MODEL,WEIGHT,STATION,THRESHOLD,timestamp,PHASE,prob
EQTransformer,instance,SABO,0.2,2023-06-11T21:30:43.960000Z,S,3
EQTransformer,instance,SABO,0.2,2023-06-12T08:28:27.370000Z,S,1
EQTransformer,instance,SABO,0.2,2023-06-13T06:31:20.640000Z,S,2
EQTransformer,instance,SABO,0.2,2023-06-14T08:42:58.800000Z,S,3
EQTransformer,instance,SABO,0.2,2023-06-14T09:18:29.020000Z,S,3
EQTransformer,instance,SABO,0.2,2023-06-18T06:16:54.370000Z,S,3
EQTransformer,instance,SABO,0.2,2023-06-19T22:04:30.940000Z,S,3
EQTransformer,instance,SABO,0.2,2023-06-19T23:49:18.410000Z,S,3
EQTransformer,instance,SABO,0.2,2023-06-22T07:15:28.360000Z,S,0
EQTransformer,instance,SABO,0.2,2023-06-23T05:22:05.080000Z,P,3
EQTransformer,instance,SABO,0.2,2023-06-29T10:59:11.380000Z,S,2
EQTransformer,instance,STAL,0.2,2023-06-05T21:00:43.500000Z,S,2
EQTransformer,instance,STAL,0.2,2023-06-23T05:22:00.090000Z,S,2
EQTransformer,instance,STAL,0.2,2023-06-23T05:28:04.120000Z,S,2
EQTransformer,instance,STAL,0.2,2023-06-24T12:59:08.300000Z,S,3
EQTransformer,instance,TRI,0.2,2023-06-08T09:25:50.890000Z,P,0
EQTransformer,instance,TRI,0.2,2023-06-08T09:25:53.560000Z,S,2
EQTransformer,instance,TRI,0.2,2023-06-22T09:03:56.700000Z,P,0
EQTransformer,instance,VARA,0.2,2023-06-27T01:38:33.220000Z,S,3
EQTransformer,instance,VARN,0.2,2023-06-04T17:58:36.900000Z,S,2
EQTransformer,instance,VARN,0.2,2023-06-13T17:17:19.510000Z,P,2
EQTransformer,instance,VARN,0.2,2023-06-23T05:27:58.490000Z,S,2
EQTransformer,instance,VARN,0.2,2023-06-27T01:38:20.970000Z,P,3
EQTransformer,instance,VINO,0.2,2023-06-04T00:04:19.700000Z,S,1
EQTransformer,instance,VINO,0.2,2023-06-05T08:29:17.600000Z,S,2
EQTransformer,instance,VINO,0.2,2023-06-06T00:55:28.010000Z,S,2
EQTransformer,instance,VINO,0.2,2023-06-06T07:43:30.700000Z,S,0
EQTransformer,instance,VINO,0.2,2023-06-09T00:43:31.510000Z,P,0
EQTransformer,instance,VINO,0.2,2023-06-09T00:43:36.260000Z,S,1
EQTransformer,instance,VINO,0.2,2023-06-19T23:50:27.300000Z,S,1
EQTransformer,instance,VINO,0.2,2023-06-23T05:22:10.330000Z,S,2
EQTransformer,instance,VINO,0.2,2023-06-24T12:58:17.830000Z,S,3
EQTransformer,instance,VOJS,0.2,2023-06-07T12:45:04.330000Z,S,3
EQTransformer,instance,VOJS,0.2,2023-06-14T08:43:28.700000Z,S,3
EQTransformer,instance,VOJS,0.2,2023-06-14T08:57:52.470000Z,P,1
EQTransformer,instance,VOJS,0.2,2023-06-19T11:59:19.240000Z,S,1
EQTransformer,instance,VOJS,0.2,2023-06-23T10:33:30.750000Z,S,2
EQTransformer,instance,VOJS,0.2,2023-06-26T15:55:34.780000Z,P,0
EQTransformer,instance,VOJS,0.2,2023-06-26T15:55:38.110000Z,S,0
EQTransformer,instance,VOJS,0.2,2023-06-29T11:00:00.600000Z,S,0
EQTransformer,instance,VOJS,0.2,2023-06-29T19:53:02.600000Z,P,1
EQTransformer,instance,VOJS,0.2,2023-06-29T19:54:11.700000Z,S,3
EQTransformer,original,ABSI,0.2,2023-06-08T15:19:25.480000Z,P,1
EQTransformer,original,ABSI,0.2,2023-06-14T10:05:04.250000Z,P,2
EQTransformer,original,ABSI,0.2,2023-06-29T15:06:42.230000Z,P,0
EQTransformer,original,ABSI,0.2,2023-06-29T15:09:00.640000Z,P,0
EQTransformer,original,ABSI,0.2,2023-06-29T15:17:51.880000Z,P,0
EQTransformer,original,ABSI,0.2,2023-06-29T15:32:58.890000Z,P,0
EQTransformer,original,ABTA,0.2,2023-06-05T21:00:09.810000Z,P,4
EQTransformer,original,ABTA,0.2,2023-06-05T21:00:18.740000Z,S,3
EQTransformer,original,ACOM,0.2,2023-06-04T00:03:09.150000Z,P,2
EQTransformer,original,ACOM,0.2,2023-06-04T00:03:14.520000Z,S,2
EQTransformer,original,ACOM,0.2,2023-06-05T21:00:13.770000Z,P,3
EQTransformer,original,ACOM,0.2,2023-06-05T21:00:24.080000Z,S,3
EQTransformer,original,ACOM,0.2,2023-06-11T21:30:40.670000Z,S,2
EQTransformer,original,ACOM,0.2,2023-06-18T03:46:54.620000Z,P,2
EQTransformer,original,ACOM,0.2,2023-06-18T03:46:57.060000Z,S,2
EQTransformer,original,ACOM,0.2,2023-06-19T12:49:45.250000Z,P,2
EQTransformer,original,ACOM,0.2,2023-06-19T12:49:47.810000Z,S,2
EQTransformer,original,ACOM,0.2,2023-06-21T14:18:26.770000Z,P,0
EQTransformer,original,ACOM,0.2,2023-06-21T14:18:30.580000Z,S,2
EQTransformer,original,ACOM,0.2,2023-06-28T08:32:57.970000Z,P,0
EQTransformer,original,ACOM,0.2,2023-06-28T08:33:01.470000Z,S,2
EQTransformer,original,BAD,0.2,2023-06-04T00:04:23.400000Z,S,2
EQTransformer,original,BAD,0.2,2023-06-05T08:29:10.700000Z,S,0
EQTransformer,original,BAD,0.2,2023-06-06T07:43:39.000000Z,S,0
EQTransformer,original,BAD,0.2,2023-06-13T06:31:19.080000Z,S,2
EQTransformer,original,BAD,0.2,2023-06-19T22:04:29.120000Z,S,2
EQTransformer,original,BAD,0.2,2023-06-19T23:50:36.600000Z,S,2
EQTransformer,original,BAD,0.2,2023-06-23T05:22:10.500000Z,S,3
EQTransformer,original,BAD,0.2,2023-06-26T03:04:17.530000Z,P,1
EQTransformer,original,BAD,0.2,2023-06-26T03:04:20.310000Z,S,3
EQTransformer,original,BAD,0.2,2023-06-28T01:24:26.430000Z,P,3
EQTransformer,original,BAD,0.2,2023-06-28T01:24:29.830000Z,S,0
EQTransformer,original,BALD,0.2,2023-06-02T02:18:29.010000Z,P,2
EQTransformer,original,BALD,0.2,2023-06-13T17:17:08.250000Z,P,2
EQTransformer,original,BOO,0.2,2023-06-04T03:09:46.300000Z,P,2
EQTransformer,original,BOO,0.2,2023-06-04T03:09:49.960000Z,S,2
EQTransformer,original,BOO,0.2,2023-06-05T08:28:03.340000Z,P,0
EQTransformer,original,BOO,0.2,2023-06-05T08:28:40.500000Z,S,0
EQTransformer,original,BOO,0.2,2023-06-05T21:00:12.270000Z,S,3
EQTransformer,original,BOO,0.2,2023-06-18T06:16:50.460000Z,P,2
EQTransformer,original,BOO,0.2,2023-06-18T06:16:54.470000Z,S,1
EQTransformer,original,BOO,0.2,2023-06-22T18:52:25.410000Z,P,3
EQTransformer,original,BOO,0.2,2023-06-23T05:22:08.840000Z,S,2
EQTransformer,original,BOO,0.2,2023-06-24T12:58:14.880000Z,S,2
EQTransformer,original,BOO,0.2,2023-06-26T03:04:17.660000Z,P,2
EQTransformer,original,BOO,0.2,2023-06-26T03:04:20.260000Z,S,3
EQTransformer,original,BOO,0.2,2023-06-28T01:24:24.200000Z,P,2
EQTransformer,original,BOO,0.2,2023-06-28T01:24:26.110000Z,S,1
EQTransformer,original,CADS,0.2,2023-06-09T00:43:29.160000Z,P,1
EQTransformer,original,CADS,0.2,2023-06-09T00:43:32.360000Z,S,2
EQTransformer,original,CADS,0.2,2023-06-09T10:10:14.020000Z,P,0
EQTransformer,original,CADS,0.2,2023-06-09T11:29:01.950000Z,P,2
EQTransformer,original,CADS,0.2,2023-06-09T11:30:25.000000Z,S,2
EQTransformer,original,CADS,0.2,2023-06-11T21:30:43.390000Z,S,2
EQTransformer,original,CADS,0.2,2023-06-20T03:40:33.990000Z,P,2
EQTransformer,original,CADS,0.2,2023-06-20T03:40:36.760000Z,S,2
EQTransformer,original,CADS,0.2,2023-06-28T21:01:04.500000Z,S,0
EQTransformer,original,CADS,0.2,2023-06-30T11:59:32.300000Z,P,0
EQTransformer,original,CAE,0.2,2023-06-01T09:53:32.530000Z,P,2
EQTransformer,original,CAE,0.2,2023-06-01T09:53:36.360000Z,S,3
EQTransformer,original,CAE,0.2,2023-06-05T18:20:51.150000Z,S,3
EQTransformer,original,CAE,0.2,2023-06-05T21:01:11.700000Z,S,3
EQTransformer,original,CAE,0.2,2023-06-28T23:02:58.660000Z,P,1
EQTransformer,original,CAE,0.2,2023-06-28T23:03:00.590000Z,S,2
EQTransformer,original,CARE,0.2,2023-06-01T14:59:55.110000Z,P,0
EQTransformer,original,CARE,0.2,2023-06-28T10:39:46.460000Z,P,1
EQTransformer,original,CARE,0.2,2023-06-29T15:06:39.430000Z,P,0
EQTransformer,original,CIMO,0.2,2023-06-01T09:53:32.090000Z,P,2
EQTransformer,original,CIMO,0.2,2023-06-01T09:53:35.530000Z,S,2
EQTransformer,original,CIMO,0.2,2023-06-01T21:41:18.550000Z,P,2
EQTransformer,original,CIMO,0.2,2023-06-01T21:41:22.260000Z,S,3
EQTransformer,original,CIMO,0.2,2023-06-03T21:45:30.990000Z,P,2
EQTransformer,original,CIMO,0.2,2023-06-03T21:45:34.180000Z,S,2
EQTransformer,original,CIMO,0.2,2023-06-04T03:09:46.690000Z,P,1
EQTransformer,original,CIMO,0.2,2023-06-04T03:09:50.140000Z,S,3
EQTransformer,original,CIMO,0.2,2023-06-05T21:01:01.500000Z,S,2
EQTransformer,original,CIMO,0.2,2023-06-12T19:19:03.840000Z,S,2
EQTransformer,original,CIMO,0.2,2023-06-14T05:11:28.540000Z,P,2
EQTransformer,original,CIMO,0.2,2023-06-14T05:11:32.160000Z,S,2
EQTransformer,original,CIMO,0.2,2023-06-24T12:58:49.900000Z,S,2
EQTransformer,original,CIMO,0.2,2023-06-28T23:03:57.100000Z,S,2
EQTransformer,original,CIMO,0.2,2023-06-30T08:13:46.990000Z,S,3
EQTransformer,original,CLUD,0.2,2023-06-03T16:54:16.790000Z,P,2
EQTransformer,original,CLUD,0.2,2023-06-03T16:54:19.600000Z,S,2
EQTransformer,original,CLUD,0.2,2023-06-05T08:28:06.500000Z,P,2
EQTransformer,original,CLUD,0.2,2023-06-05T08:29:38.200000Z,S,0
EQTransformer,original,CLUD,0.2,2023-06-06T00:55:26.730000Z,S,2
EQTransformer,original,CLUD,0.2,2023-06-12T19:20:33.600000Z,S,2
EQTransformer,original,CLUD,0.2,2023-06-22T13:30:17.690000Z,S,1
EQTransformer,original,CLUD,0.2,2023-06-23T05:22:07.700000Z,S,3
EQTransformer,original,CLUD,0.2,2023-06-24T12:58:13.660000Z,S,3
EQTransformer,original,CTI,0.2,2023-06-01T14:59:52.970000Z,P,2
EQTransformer,original,CTI,0.2,2023-06-04T17:58:31.700000Z,S,0
EQTransformer,original,CTI,0.2,2023-06-05T21:00:22.600000Z,S,3
EQTransformer,original,CTI,0.2,2023-06-14T10:05:00.120000Z,P,0
EQTransformer,original,CTI,0.2,2023-06-23T05:22:05.390000Z,S,3
EQTransformer,original,CTI,0.2,2023-06-23T06:58:16.340000Z,P,3
EQTransformer,original,CTI,0.2,2023-06-23T06:58:18.670000Z,S,2
EQTransformer,original,DOSS,0.2,2023-06-01T14:59:51.480000Z,P,0
EQTransformer,original,DOSS,0.2,2023-06-03T05:18:39.310000Z,P,3
EQTransformer,original,DOSS,0.2,2023-06-04T17:57:20.400000Z,S,3
EQTransformer,original,DOSS,0.2,2023-06-08T15:19:18.660000Z,P,1
EQTransformer,original,DOSS,0.2,2023-06-09T17:32:25.540000Z,P,3
EQTransformer,original,DOSS,0.2,2023-06-09T17:32:28.440000Z,S,2
EQTransformer,original,DOSS,0.2,2023-06-12T10:04:39.710000Z,P,0
EQTransformer,original,DOSS,0.2,2023-06-13T17:17:23.620000Z,S,3
EQTransformer,original,DOSS,0.2,2023-06-14T10:35:35.380000Z,P,0
EQTransformer,original,DOSS,0.2,2023-06-23T05:22:04.160000Z,P,2
EQTransformer,original,DOSS,0.2,2023-06-23T06:58:18.880000Z,P,3
EQTransformer,original,DOSS,0.2,2023-06-23T06:58:24.360000Z,S,2
EQTransformer,original,DOSS,0.2,2023-06-26T10:10:01.280000Z,P,0
EQTransformer,original,DOSS,0.2,2023-06-27T10:46:42.110000Z,P,0
EQTransformer,original,DOSS,0.2,2023-06-29T15:06:35.770000Z,P,0
EQTransformer,original,DOSS,0.2,2023-06-29T15:08:54.030000Z,P,0
EQTransformer,original,DOSS,0.2,2023-06-29T15:32:52.310000Z,P,0
EQTransformer,original,DOSS,0.2,2023-06-29T15:33:20.710000Z,P,1
EQTransformer,original,DRE,0.2,2023-06-02T08:50:42.740000Z,P,2
EQTransformer,original,DRE,0.2,2023-06-03T08:29:30.070000Z,P,2
EQTransformer,original,DRE,0.2,2023-06-03T08:29:32.100000Z,S,0
EQTransformer,original,DRE,0.2,2023-06-04T00:04:25.700000Z,S,0
EQTransformer,original,DRE,0.2,2023-06-09T10:10:14.370000Z,P,0
EQTransformer,original,DRE,0.2,2023-06-09T11:30:17.200000Z,S,2
EQTransformer,original,DRE,0.2,2023-06-12T08:28:24.400000Z,P,1
EQTransformer,original,DRE,0.2,2023-06-12T08:28:29.920000Z,S,1
EQTransformer,original,DRE,0.2,2023-06-20T03:40:34.890000Z,P,2
EQTransformer,original,DRE,0.2,2023-06-20T03:40:38.070000Z,S,2
EQTransformer,original,DRE,0.2,2023-06-22T07:15:27.470000Z,S,2
EQTransformer,original,DRE,0.2,2023-06-26T15:55:32.770000Z,P,2
EQTransformer,original,DRE,0.2,2023-06-26T15:55:35.450000Z,S,2
EQTransformer,original,DRE,0.2,2023-06-28T21:01:20.200000Z,S,2
EQTransformer,original,DST2,0.2,2023-06-04T00:25:16.320000Z,S,3
EQTransformer,original,DST2,0.2,2023-06-14T09:18:19.260000Z,P,2
EQTransformer,original,DST2,0.2,2023-06-14T09:18:20.880000Z,S,2
EQTransformer,original,DST2,0.2,2023-06-22T09:03:57.820000Z,P,0
EQTransformer,original,FETA,0.2,2023-06-04T02:28:53.830000Z,S,2
EQTransformer,original,FETA,0.2,2023-06-27T09:42:35.500000Z,P,2
EQTransformer,original,FUSE,0.2,2023-06-04T03:09:45.560000Z,P,2
EQTransformer,original,FUSE,0.2,2023-06-04T03:09:48.180000Z,S,2
EQTransformer,original,FUSE,0.2,2023-06-05T08:28:04.900000Z,P,1
EQTransformer,original,FUSE,0.2,2023-06-05T08:29:09.500000Z,S,2
EQTransformer,original,FUSE,0.2,2023-06-11T23:30:42.580000Z,P,2
EQTransformer,original,FUSE,0.2,2023-06-11T23:30:44.320000Z,S,2
EQTransformer,original,FUSE,0.2,2023-06-22T13:30:15.670000Z,P,2
EQTransformer,original,FUSE,0.2,2023-06-22T13:30:17.660000Z,S,2
EQTransformer,original,FUSE,0.2,2023-06-22T18:52:24.240000Z,P,1
EQTransformer,original,FUSE,0.2,2023-06-22T18:52:26.030000Z,S,2
EQTransformer,original,FUSE,0.2,2023-06-23T05:22:08.000000Z,S,2
EQTransformer,original,FUSE,0.2,2023-06-28T01:24:23.710000Z,P,0
EQTransformer,original,FUSE,0.2,2023-06-28T01:24:25.260000Z,S,2
EQTransformer,original,FVI,0.2,2023-06-03T21:45:32.520000Z,P,2
EQTransformer,original,FVI,0.2,2023-06-05T21:00:14.390000Z,S,3
EQTransformer,original,GAGG,0.2,2023-06-02T02:18:28.800000Z,P,0
EQTransformer,original,GAGG,0.2,2023-06-09T14:19:19.310000Z,P,0
EQTransformer,original,GAGG,0.2,2023-06-09T14:19:23.870000Z,S,2
EQTransformer,original,GAGG,0.2,2023-06-13T17:17:28.450000Z,S,3
EQTransformer,original,GAGG,0.2,2023-06-14T10:35:33.830000Z,P,0
EQTransformer,original,GEPF,0.2,2023-06-05T08:28:03.700000Z,P,2
EQTransformer,original,GEPF,0.2,2023-06-05T08:28:47.100000Z,S,2
EQTransformer,original,GEPF,0.2,2023-06-05T21:00:12.940000Z,S,3
EQTransformer,original,GEPF,0.2,2023-06-23T05:22:08.050000Z,S,3
EQTransformer,original,GEPF,0.2,2023-06-28T01:24:25.120000Z,P,0
EQTransformer,original,GEPF,0.2,2023-06-28T01:24:27.610000Z,S,0
EQTransformer,original,GORS,0.2,2023-06-01T23:54:24.350000Z,P,0
EQTransformer,original,GORS,0.2,2023-06-03T08:29:29.880000Z,P,2
EQTransformer,original,GORS,0.2,2023-06-03T08:29:32.760000Z,S,2
EQTransformer,original,GORS,0.2,2023-06-03T21:13:52.450000Z,P,1
EQTransformer,original,GORS,0.2,2023-06-09T00:43:29.690000Z,P,3
EQTransformer,original,GORS,0.2,2023-06-09T00:43:33.580000Z,S,2
EQTransformer,original,GORS,0.2,2023-06-11T21:30:38.220000Z,P,2
EQTransformer,original,GORS,0.2,2023-06-14T00:33:52.990000Z,P,2
EQTransformer,original,GORS,0.2,2023-06-14T00:33:58.310000Z,S,3
EQTransformer,original,GORS,0.2,2023-06-20T03:40:35.510000Z,P,2
EQTransformer,original,GORS,0.2,2023-06-21T14:18:31.700000Z,S,2
EQTransformer,original,GORS,0.2,2023-06-22T07:15:18.870000Z,P,2
EQTransformer,original,GORS,0.2,2023-06-22T07:15:23.570000Z,S,3
EQTransformer,original,GORS,0.2,2023-06-28T08:33:00.740000Z,P,2
