index;event-id;origin_time(UTC);t_err;lat;lon;h_err;depth;v_err;gap;ml;md;place;event_type
00086;2024_00086;2024-01-21T10:14:29.960; 0.48;46.4583;14.3512;  0.9;  8.5;  0.9;136; 2.4; 2.7;KOSCHUTNIK (AUSTRIA);[earthquake]
00087;2024_00087;2024-01-21T10:16:32.040; 0.41;46.4422;14.3358;  0.9;  8.9;  0.9;132; 2.1; 2.4;KOSCHUTNIK (AUSTRIA);[earthquake]
00088;2024_00088;2024-01-21T14:20:30.240; 0.49;45.1030;11.3883;  2.0; 10.1;  2.0;280; 1.8; 2.6;CASTAGNARO (VENETO);[earthquake]
00089;2024_00089;2024-01-22T01:29:35.540; 0.25;46.3112;12.7285;  0.4; 10.5;  0.4; 48; 1.3; 2.2;TRAMONTI DI SOTTO (FRIULI);[earthquake]
00090;2024_00090;2024-01-22T03:46:03.910; 0.14;46.4515;14.3587;  1.1;  7.8;  1.1;145; 1.3; 1.9;KOSCHUTNIK (AUSTRIA);[earthquake]
00091;2024_00091;2024-01-22T04:03:57.150;-----;45.6317;13.9008;-----;  2.5;-----;222; 1.0; 1.3;S.DORLIGO D.VALLE;[earthquake]
00092;2024_00092;2024-01-22T05:02:58.710; 0.15;45.5515;14.4202;  0.6; 14.2;  0.6;137; 1.7; 2.2;PODGRATE (SLOVENIA);[earthquake]
00093;2024_00093;2024-01-22T05:44:01.390; 0.27;45.5720;14.3958;  1.5; 11.1;  1.5;189; 1.9; 2.2;PODGRATE (SLOVENIA);[earthquake]
00094;2024_00094;2024-01-22T09:19:30.570; 0.15;45.7995;14.3447;  0.7; 11.1;  0.7;148; 1.5; 1.6;CERKNICA (SLOVENIA);[earthquake]
00095;2024_00095;2024-01-22T09:58:47.200; 0.19;45.5487;13.8497;  1.4;  4.7;  1.4;246; 1.4; 1.2;S.SERGIO (SLOVENIA);[earthquake]
00096;2024_00096;2024-01-22T11:04:09.820; 0.08;46.1843;11.2055;  0.2;  9.1;  0.2; 61; 1.0; 1.8;CEMBRA (TRENTINO);[earthquake]
00097;2024_00097;2024-01-22T12:45:47.110; 0.04;45.8310;14.3323;  3.7; 11.1;  3.7;252; 1.4; 1.6;CERKNICA (SLOVENIA);[earthquake]
00098;2024_00098;2024-01-23T02:35:38.310; 0.07;46.2837;13.8045;  1.5; 12.7;  1.5;211; 0.3; 0.2;KUK (SLOVENIA);[earthquake]
00099;2024_00099;2024-01-23T04:10:52.500; 0.28;46.3217;13.1513;  1.0;  9.3;  1.0;108; 0.1; 0.5;GEMONA (FRIULI);[earthquake]
00100;2024_00100;2024-01-23T09:47:47.610; 0.08;45.8020;14.3530;  0.6; 12.1;  0.6;118; 1.0; 1.0;CERKNICA (SLOVENIA);[earthquake]
00101;2024_00101;2024-01-23T12:06:35.270; 0.14;45.7347;14.0787;  0.7; 14.9;  0.7;142; 0.9; 1.6;PIVKA (SLOVENIA);[earthquake]
00102;2024_00102;2024-01-23T12:10:59.630; 0.08;45.5653;14.3363;  0.9; 11.4;  0.9;173; 1.4; 1.5;PODGRATE (SLOVENIA);[earthquake]
00103;2024_00103;2024-01-23T12:15:59.950; 0.21;46.6812;13.8092;  0.9;  0.1;  0.9;199; 1.4; 2.0;AFRITZ (AUSTRIA);[earthquake]
00104;2024_00104;2024-01-23T17:43:21.030; 0.26;46.3098;12.7337;  0.5; 10.0;  0.5; 74; 1.1; 1.8;TRAMONTI DI SOTTO (FRIULI);[earthquake]
00105;2024_00105;2024-01-24T00:20:26.790; 0.11;45.6555;14.0762;  0.3; 11.2;  0.3; 81; 1.1; 1.4;VREMSKI-BRITOF (SLOVENIA);[earthquake]
00106;2024_00106;2024-01-24T01:21:11.520; 0.11;45.6620;14.0792;  0.2; 10.8;  0.2; 79; 1.8; 2.1;NARIN (SLOVENIA);[earthquake]
00107;2024_00107;2024-01-24T02:26:53.280; 0.03;46.5158;13.5503;  1.0;  4.4;  1.0;209;-0.2; 0.1;CAMPOROSSO IN VALCA. (FRIULI);[earthquake]
00108;2024_00108;2024-01-24T06:20:47.790; 0.15;46.4430;14.3452;  0.3; 11.0;  0.3;133; 2.3; 2.5;KOSCHUTNIK (AUSTRIA);[earthquake]
00109;2024_00109;2024-01-24T06:59:44.920; 0.10;46.4275;14.3383;  0.4; 11.3;  0.4;229; 1.8; 2.0;KOSCHUTNIK (AUSTRIA);[earthquake]
00110;2024_00110;2024-01-24T08:13:35.250; 0.19;45.6595;14.0827;  0.4;  9.6;  0.4; 81; 2.0; 2.2;NARIN (SLOVENIA);[earthquake]
00111;2024_00111;2024-01-24T09:07:48.810; 0.06;45.6558;14.0742;  0.3; 11.7;  0.3;140; 1.2; 1.5;VREMSKI-BRITOF (SLOVENIA);[earthquake]
00112;2024_00112;2024-01-24T09:59:49.750; 0.13;45.9690;12.4037;-----;  1.7;-----;342; 1.2; 1.0;CORDIGNANO (VENETO);[earthquake]
00113;2024_00113;2024-01-24T10:48:36.100; 0.23;46.7130;13.7772;  1.3;  2.7;  1.3;338; 0.7; 1.0;AFRITZ (AUSTRIA);[earthquake]
00114;2024_00114;2024-01-24T13:53:46.070; 0.14;45.6563;13.9532;  0.8; 11.3;  0.8;133; 1.1; 1.1;VREMSKI-BRITOF (SLOVENIA);[earthquake]
00115;2024_00115;2024-01-24T21:30:10.290; 0.15;45.6560;14.0777;  0.5; 11.2;  0.5; 81; 1.1; 1.4;VREMSKI-BRITOF (SLOVENIA);[earthquake]
00116;2024_00116;2024-01-25T00:46:21.780; 0.07;46.1470;12.4157;  1.1; 11.4;  1.1;167; 0.7; 0.7;PUOS D'ALPAGO (VENETO);[earthquake]
00117;2024_00117;2024-01-25T01:33:41.400; 0.48;44.8760;11.0932;  2.5; 26.6;  2.5;155; 2.7; 2.6;S.FELICE SUL PANARO (EMILIA);[earthquake]
00118;2024_00118;2024-01-25T07:23:25.090; 0.15;45.9885;14.4978;  0.9;  1.1;  0.9;170; 1.1; 1.1;ZELIMLJE (SLOVENIA);[earthquake]
00119;2024_00119;2024-01-25T07:51:07.520; 0.20;45.9978;14.4800;  0.8;  1.1;  0.8;132; 1.1; 1.2;ZELIMLJE (SLOVENIA);[earthquake]
00120;2024_00120;2024-01-25T07:51:52.880; 0.17;45.9903;14.4910;  0.8;  1.0;  0.8;158; 1.2; 1.4;ZELIMLJE (SLOVENIA);[earthquake]
00121;2024_00121;2024-01-25T08:13:59.180; 0.31;46.1963;12.7320;  2.7;  9.7;  2.7;239; 0.8; 1.4;MANIAGO (FRIULI);[earthquake]
00122;2024_00122;2024-01-25T11:45:16.220; 0.22;46.0377;14.2503;  0.4; 12.5;  0.4; 60; 2.0; 2.2;HORJUL (SLOVENIA);[earthquake]
00123;2024_00123;2024-01-25T15:17:50.880; 0.16;45.9372;13.7140;  0.3; 11.0;  0.3;111; 1.9; 2.1;TRNOVO (SLOVENIA);[earthquake]
00124;2024_00124;2024-01-25T17:04:23.730; 0.30;45.5590;10.2380;  4.6; 16.8;  4.6;282; 1.6; 1.9;BRESCIA (LOMBARDIA);[earthquake]
00125;2024_00125;2024-01-26T04:18:33.760; 0.14;46.3863;13.1208;  0.3; 12.5;  0.3; 66; 0.8; 1.2;MOGGIO UDINESE (FRIULI);[earthquake]
00126;2024_00126;2024-01-26T13:31:04.710; 0.05;46.3882;13.1237;  0.3; 12.5;  0.3; 98; 0.3; 0.8;MOGGIO UDINESE (FRIULI);[earthquake]
00127;2024_00127;2024-01-26T13:44:25.220; 0.07;46.3880;13.1213;  0.3; 11.9;  0.3; 94; 0.5; 0.9;MOGGIO UDINESE (FRIULI);[earthquake]
00128;2024_00128;2024-01-26T22:17:37.600; 0.07;46.4482;13.1588;  0.2; 10.4;  0.2; 95; 0.3; 0.6;M.SERNIO (FRIULI);[earthquake]
00129;2024_00129;2024-01-26T23:32:32.960; 0.03;46.0275;13.6182;  0.2; 15.5;  0.2;176; 0.5; 0.4;PLAVE (SLOVENIA);[earthquake]
00130;2024_00130;2024-01-27T04:26:12.160; 0.18;46.2260;10.2310;  1.1; 13.7;  1.1;101; 1.4; 1.1;LOVERO (LOMBARDIA);[earthquake]
00131;2024_00131;2024-01-27T05:07:05.780; 0.11;46.1220;11.9908;  0.6;  3.3;  0.6;135; 0.7; 0.5;S.GIUSTINA. (VENETO);[earthquake]
00132;2024_00132;2024-01-27T14:31:58.750; 0.12;46.1247;14.2305;  0.7;  9.8;  0.7;182; 0.7;----;SKOFIA-LOKA (SLOVENIA);[earthquake]
00133;2024_00133;2024-01-27T16:38:32.150; 0.06;46.3790;12.9580;  0.3; 10.3;  0.3;165; 0.2;----;TOLMEZZO (FRIULI);[earthquake]
00134;2024_00134;2024-01-27T19:16:58.870; 0.05;46.4262;12.9597;  0.8;  4.2;  0.8;173; 0.4; 0.9;ARTA (FRIULI);[earthquake]
